coords,alt,time
"(42.817217, -1.64878)",445.008,2017-04-29 13:38:19+00:00
"(42.816896, -1.649563)",445.285,2017-04-29 13:38:55+00:00
"(42.814534, -1.652834)",445.033,2017-04-29 13:41:02+00:00
"(42.814322, -1.652976)",445.01,2017-04-29 13:41:08+00:00
"(42.814092, -1.652686)",445.66,2017-04-29 13:41:18+00:00
"(42.813949, -1.652727)",446.047,2017-04-29 13:41:24+00:00
"(42.812766, -1.654135)",444.336,2017-04-29 13:42:04+00:00
"(42.812393, -1.654351)",444.76,2017-04-29 13:42:17+00:00
"(42.811875, -1.654332)",445.647,2017-04-29 13:42:29+00:00
"(42.810342, -1.653394)",447.876,2017-04-29 13:43:08+00:00
"(42.809879, -1.652951)",448.29,2017-04-29 13:43:24+00:00
"(42.809283, -1.653228)",448.019,2017-04-29 13:43:41+00:00
"(42.8086, -1.653987)",447.008,2017-04-29 13:44:02+00:00
"(42.8069, -1.656899)",445.068,2017-04-29 13:44:57+00:00
"(42.806275, -1.658241)",443.046,2017-04-29 13:45:19+00:00
"(42.804595, -1.660398)",429.813,2017-04-29 13:45:51+00:00
"(42.803063, -1.661659)",425.193,2017-04-29 13:46:19+00:00
"(42.80202, -1.662862)",414.36,2017-04-29 13:46:36+00:00
"(42.80158, -1.6637)",411.459,2017-04-29 13:46:48+00:00
"(42.80118, -1.665072)",410.193,2017-04-29 13:47:08+00:00
"(42.800812, -1.665234)",411.08,2017-04-29 13:47:19+00:00
"(42.80075, -1.665443)",410.666,2017-04-29 13:47:24+00:00
"(42.800543, -1.665419)",411.029,2017-04-29 13:47:30+00:00
"(42.798675, -1.666448)",409.821,2017-04-29 13:48:13+00:00
"(42.797828, -1.667141)",409.408,2017-04-29 13:48:32+00:00
"(42.797079, -1.66836)",411.077,2017-04-29 13:48:56+00:00
"(42.79593, -1.669385)",413.875,2017-04-29 13:49:31+00:00
"(42.795151, -1.671418)",415.062,2017-04-29 13:50:27+00:00
"(42.794069, -1.672832)",418.542,2017-04-29 13:51:03+00:00
"(42.793966, -1.673171)",419.079,2017-04-29 13:51:13+00:00
"(42.793706, -1.673093)",419.798,2017-04-29 13:51:22+00:00
"(42.792248, -1.673786)",430.672,2017-04-29 13:52:22+00:00
"(42.790362, -1.674963)",443.049,2017-04-29 13:54:02+00:00
"(42.788528, -1.675236)",459.919,2017-04-29 13:55:48+00:00
"(42.788018, -1.675799)",462.809,2017-04-29 13:56:18+00:00
"(42.787849, -1.676266)",463.519,2017-04-29 13:56:38+00:00
"(42.786319, -1.677139)",456.508,2017-04-29 13:57:10+00:00
"(42.785825, -1.678448)",455.032,2017-04-29 13:57:43+00:00
"(42.784178, -1.6803)",440.17,2017-04-29 13:58:20+00:00
"(42.782735, -1.681435)",434.827,2017-04-29 13:58:45+00:00
"(42.781878, -1.682618)",433.027,2017-04-29 13:59:10+00:00
"(42.780006, -1.686012)",437.044,2017-04-29 14:00:25+00:00
"(42.778363, -1.688203)",442.953,2017-04-29 14:01:41+00:00
"(42.77816, -1.688821)",443.247,2017-04-29 14:01:55+00:00
"(42.778095, -1.689809)",442.924,2017-04-29 14:02:14+00:00
"(42.775412, -1.691171)",458.361,2017-04-29 14:04:30+00:00
"(42.774931, -1.691635)",463.221,2017-04-29 14:05:38+00:00
"(42.773207, -1.693838)",473.613,2017-04-29 14:07:35+00:00
"(42.772714, -1.694182)",476.108,2017-04-29 14:08:06+00:00
"(42.772089, -1.695196)",485.017,2017-04-29 14:09:10+00:00
"(42.771413, -1.696659)",494.135,2017-04-29 14:10:16+00:00
"(42.771158, -1.697941)",496.972,2017-04-29 14:11:09+00:00
"(42.770326, -1.699272)",491.112,2017-04-29 14:11:39+00:00
"(42.768913, -1.700679)",489.969,2017-04-29 14:12:17+00:00
"(42.767342, -1.701636)",493.188,2017-04-29 14:13:16+00:00
"(42.766733, -1.702435)",490.792,2017-04-29 14:13:37+00:00
"(42.765226, -1.705266)",490.249,2017-04-29 14:14:40+00:00
"(42.764771, -1.707162)",495.354,2017-04-29 14:15:27+00:00
"(42.76448, -1.707714)",498.756,2017-04-29 14:15:51+00:00
"(42.76315, -1.709269)",499.111,2017-04-29 14:17:02+00:00
"(42.763001, -1.710121)",503.708,2017-04-29 14:17:39+00:00
"(42.761987, -1.711307)",512.736,2017-04-29 14:18:55+00:00
"(42.761484, -1.712338)",517.884,2017-04-29 14:19:51+00:00
"(42.760806, -1.712927)",520.641,2017-04-29 14:20:40+00:00
"(42.758568, -1.714013)",536.661,2017-04-29 14:23:31+00:00
